fichier,date,heure_debut,heure_fin,quartier,duree_minutes,latitude,longitude,variante_geocodage
planning_01_02_2026.JPG,01/02/2026,11h30,13h30,Petit paris,120.0,0.3966,9.4501,dico:petit paris
planning_01_02_2026.JPG,01/02/2026,11h30,13h30,Derrière le stade,120.0,0.3966,9.4501,dico:derriere le stade
planning_01_02_2026.JPG,01/02/2026,11h30,13h30,Palais des sports,120.0,0.3949,9.453,dico:palais des sports
planning_01_02_2026.JPG,01/02/2026,11h30,13h30,Marché Mont-Bouët,120.0,0.395,9.456,dico:marche mont-bouet
planning_01_02_2026.JPG,01/02/2026,11h30,13h30,Nombakélé,120.0,0.39,9.456,dico:nombakele
planning_01_02_2026.JPG,01/02/2026,11h30,13h30,Centre-ville,120.0,0.3901,9.4537,dico:centre-ville
planning_01_02_2026.JPG,01/02/2026,11h30,13h30,Saint-Germain,120.0,0.405,9.452,dico:saint-germain
planning_01_02_2026.JPG,01/02/2026,11h30,13h30,Hôtel du stade,120.0,0.3967,9.4463,dico:hotel du stade
planning_01_02_2026.JPG,01/02/2026,11h30,13h30,Mairie du 3eme,120.0,0.405,9.452,dico:mairie du 3eme
planning_01_02_2026.JPG,01/02/2026,11h30,13h30,BBS,120.0,0.39,9.456,dico:bbs
planning_01_02_2026.JPG,01/02/2026,11h30,13h30,Les Bougainvilliers,120.0,0.5091,9.3904,dico:les bougainvilliers
planning_01_02_2026.JPG,01/02/2026,11h30,13h30,Avorbam,120.0,0.5091,9.3904,dico:avorbam
planning_01_02_2026.JPG,01/02/2026,11h30,13h30,Marseille,120.0,0.5091,9.3904,dico:marseille
planning_01_02_2026.JPG,01/02/2026,11h30,13h30,Premier Campement,120.0,0.5284,9.3692,dico:premier campement
planning_01_02_2026.JPG,01/02/2026,11h30,13h30,Cap Santa Clara,120.0,0.5052,9.3184,dico:cap santa clara
planning_01_02_2026.JPG,01/02/2026,11h30,13h30,Akouango village,120.0,0.525,9.3383,dico:akouango village
planning_01_02_2026.JPG,01/02/2026,11h30,13h30,Cap Estérias,120.0,0.525,9.3383,dico:cap esterias
planning_01_02_2026.JPG,01/02/2026,11h30,13h30,ENEF,120.0,0.525,9.3383,dico:enef
planning_01_02_2026.JPG,01/02/2026,13h30,15h30,Avorbam,120.0,0.5091,9.3904,dico:avorbam
planning_01_02_2026.JPG,01/02/2026,13h30,15h30,ISTA,120.0,0.5097,9.3712,dico:ista
planning_01_02_2026.JPG,01/02/2026,13h30,15h30,Okala,120.0,0.4824,9.4041,dico_partiel:okala mikolongo
planning_01_02_2026.JPG,01/02/2026,13h30,15h30,Carrefour Gigi,120.0,0.429,9.4714,dico:carrefour gigi
planning_01_02_2026.JPG,01/02/2026,13h30,15h30,CKDO,120.0,0.429,9.4714,dico:ckdo
planning_01_02_2026.JPG,01/02/2026,13h30,15h30,Camp de la GR au premier campement,120.0,0.5284,9.3692,dico_partiel:premier campement
planning_01_02_2026.JPG,01/02/2026,13h30,15h30,Glass,120.0,0.3771,9.4533,dico:glass
planning_01_02_2026.JPG,01/02/2026,13h30,15h30,Imm. Chamoud,120.0,0.3859,9.4457,patch:Imm. Chamoud
planning_01_02_2026.JPG,01/02/2026,13h30,15h30,Centr'Affaires,120.0,0.3859,9.4457,dico:centr affaires
planning_01_02_2026.JPG,01/02/2026,13h30,15h30,Station Engen,120.0,0.3859,9.4457,dico:station engen
planning_01_02_2026.JPG,01/02/2026,13h30,15h30,Cocotiers,120.0,0.4127,9.4496,dico_partiel:cocotier
planning_01_02_2026.JPG,01/02/2026,13h30,15h30,Palais de justice,120.0,0.4258,9.4522,dico:palais de justice
